"biz_id","metadata_name","metadata_value","category_path","Label"
"467898","mcategory_ids","378","Sports and Recreation > Cycling","Cycling"
"604693","mcategory_ids","378","Sports and Recreation > Cycling","Cycling"
"160670","mcategory_ids","378","Sports and Recreation > Cycling","Cycling"
"114834","mcategory_ids","378","Sports and Recreation > Cycling","Cycling"
"160669","mcategory_ids","378","Sports and Recreation > Cycling","Cycling"
"535492","mcategory_ids","377","Sports and Recreation > Combat Sports","Combat Sports"
"60880","mcategory_ids","377","Sports and Recreation > Combat Sports","Combat Sports"
"361676","mcategory_ids","377","Sports and Recreation > Combat Sports","Combat Sports"
"443023","mcategory_ids","377","Sports and Recreation > Combat Sports","Combat Sports"
"604750","mcategory_ids","377","Sports and Recreation > Combat Sports","Combat Sports"
"543825","mcategory_ids","377","Sports and Recreation > Combat Sports","Combat Sports"
"550825","mcategory_ids","377","Sports and Recreation > Combat Sports","Combat Sports"
"60878","mcategory_ids","377","Sports and Recreation > Combat Sports","Combat Sports"
"140937","mcategory_ids","377","Sports and Recreation > Combat Sports","Combat Sports"
"125421","mcategory_ids","377","Sports and Recreation > Combat Sports","Combat Sports"
"560929","mcategory_ids","377","Sports and Recreation > Combat Sports","Combat Sports"
"583969","mcategory_ids","372","Sports and Recreation",""
"605057","mcategory_ids","372","Sports and Recreation",""
"605020","mcategory_ids","372","Sports and Recreation",""
"354054","mcategory_ids","372","Sports and Recreation",""
"605284","mcategory_ids","372","Sports and Recreation",""
"297407","mcategory_ids","371","Social > Zoos, Aquariums and Wildlife Sanctuaries","Zoos, Aquariums and Wildlife Sanctuaries"
"604983","mcategory_ids","368","Social > Food and Dining > Restaurants > Vegan and Vegetarian","Vegan and Vegetarian"
"605099","mcategory_ids","366","Social > Food and Dining > Restaurants > Sushi","Sushi"
"604893","mcategory_ids","366","Social > Food and Dining > Restaurants > Sushi","Sushi"
"605064","mcategory_ids","366","Social > Food and Dining > Restaurants > Sushi","Sushi"
"605045","mcategory_ids","366","Social > Food and Dining > Restaurants > Sushi","Sushi"
"604730","mcategory_ids","364","Social > Food and Dining > Restaurants > Seafood","Seafood"
"605016","mcategory_ids","363","Social > Food and Dining > Restaurants > Pizza","Pizza"
"604984","mcategory_ids","363","Social > Food and Dining > Restaurants > Pizza","Pizza"
"605113","mcategory_ids","363","Social > Food and Dining > Restaurants > Pizza","Pizza"
"605905","mcategory_ids","363","Social > Food and Dining > Restaurants > Pizza","Pizza"
"605085","mcategory_ids","363","Social > Food and Dining > Restaurants > Pizza","Pizza"
"605867","mcategory_ids","363","Social > Food and Dining > Restaurants > Pizza","Pizza"
"606050","mcategory_ids","363","Social > Food and Dining > Restaurants > Pizza","Pizza"
"604837","mcategory_ids","363","Social > Food and Dining > Restaurants > Pizza","Pizza"
